race_id,race_date,track,discipline,distance_m,going,horse,jockey,trainer,draw,weight_kg,age,days_since_last_run,musique,career_starts,career_wins,career_places,earnings,odds,finish_position
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Golden Arrow,M. Guyon,A. Fabre,3,57.0,4,21,1p 2p 1p 3p 4p 1p,12,5,9,186000,2.8,1
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Silver Wind,C. Soumillon,J-C. Rouget,1,57.0,4,28,2p 1p 3p 2p 5p 1p,10,3,7,142000,3.5,2
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Night Dancer,M. Barzalona,F. Head,6,56.5,5,14,3p 4p 2p 0p 3p 6p,18,3,8,121000,6.5,4
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Storm Legend,A. Lemaitre,C. Laffon-Parias,4,56.0,4,35,5p 3p 0p 1p 4p 2p,9,2,4,68000,9.0,3
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Blue Comet,S. Pasquier,F-H. Graffard,8,55.5,3,42,4p 0p 6p 5p 3p,6,0,1,21000,18.0,6
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Wild Spirit,T. Bachelot,M. Delzangles,2,56.0,4,18,0p 7p 3p 4p 0p 5p,14,1,3,39000,25.0,7
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Lucky Rocket,C. Demuro,H-A. Pantall,7,57.0,5,10,6p 2p 4p 3p 1p 0p,20,3,7,95000,12.0,5
2024-05-12_R1_C3,2024-05-12,ParisLongchamp,plat,1600,bon,Iron Knight,E. Hardouin,P. Bary,5,55.0,3,60,0p 8p 0p 5p,4,0,0,8000,45.0,8
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Crystal Queen,M. Guyon,A. Fabre,2,58.0,4,14,1p 1p 2p 3p 1p 2p,11,5,9,210000,2.2,2
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Shadow Prince,P-C. Boudot,J-C. Rouget,5,57.5,4,25,2p 3p 1p 4p 2p 1p,13,4,9,165000,3.8,1
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Fire Runner,M. Velon,S. Wattel,7,56.5,5,30,4p 5p 3p 2p 6p 3p,22,2,9,88000,11.0,3
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Ocean Tide,A. Pouchin,Y. Barberot,1,56.0,4,21,3p 0p 4p 1p 5p 0p,15,2,5,61000,14.0,5
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Velvet Echo,J-B. Eyquem,N. Clément,4,55.5,3,49,5p 2p 0p 3p,5,0,2,17000,20.0,4
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Diamond Flash,F. Veron,M. Boutin,6,57.0,6,12,0p 6p 7p 0p 4p 8p,28,2,6,74000,40.0,7
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Star Whisper,T. Piccone,H-A. Pantall,3,56.0,4,90,2p 4p 1p 0p 3p 2p,9,2,6,72000,7.5,6
2024-05-19_R1_C5,2024-05-19,Chantilly,plat,2000,souple,Sun Falcon,H. Journiac,P. Bary,8,55.0,3,7,7p 0p 5p 6p,4,0,0,6000,60.0,8
2024-06-02_R4_C1,2024-06-02,Vincennes,trot,2700,bon,Bold Thunder,M. Abrivard,J-M. Bazire,1,,6,20,1a Da 1a 2a 3a 1a,34,11,22,312000,2.5,1
